-0.0271		0.1443		0.4096		0.4795		-0.495		0.5522		0.825175
0.4564		0.6739		-0.0017		0.3212		-0.0457		0.419		0.666667
0.0848		0.5612		-0.2724		0.6977		-0.0921		0.2595		0.934426
0.0243		0.5765		0.0787		0.471		-0.2646		0.5489		0.650794
-0.0046		0.1768		-0.0801		0.8907		0.2073		0.2979		0.165957
-0.2027		0.6956		0.1154		0.4139		0.1066		0.4573		0.340741
0.0463		0.1811		-0.0942		0.2481		0.1756		0.8884		0.509434
-0.0322		0.1697		-0.1543		0.4524		-0.5155		0.6591		0.325
-0.0404		0.8671		0.282		0.3187		-0.0852		0.1413		0.147727
0.2827		0.549		-0.4724		0.566		0.0367		0.1635		0.844828
-0.0825		0.9211		-0.0291		0.245		0.0634		0.1676		0.870748
0.0919		0.1821		-0.0469		0.2342		-0.5214		0.7676		0.204545
0.2025		0.4532		0.1442		0.7942		-0.0026		0.1924		0.131868
0.1406		0.3345		-0.446		0.5599		0.0625		0.5265		0.536232
-0.0114		0.5963		-0.1097		0.6937		0.1136		0.2671		0.62069
0.3995		0.6229		-0.1618		0.5854		0.045		0.1685		0.440367
-0.156		0.2806		0.0417		0.899		-0.0237		0.2089		0.84252
-0.1449		0.7111		0.119		0.2333		-0.3573		0.4642		0.648148
0.0622		0.3658		0.2113		0.3879		-0.0812		0.775		0.355556
-0.4243		0.542		0.0074		0.6631		0.0238		0.2104		0.714286
0.0085		0.7446		0.0193		0.201		-0.0639		0.5793		0.639175
-0.3284		0.5328		0.3377		0.4812		-0.279		0.3606		0.867647
0.0061		0.1995		0.1027		0.3846		-0.5873		0.6483		0.255319
0.6267		0.675		0.0193		0.2078		0.0295		0.2532		0.37
0.1337		0.4781		-0.1335		0.2733		0.3784		0.635		0.515152
-0.0828		0.1509		-0.2061		0.7767		0.2242		0.464		0.105691
0.2789		0.4131		-0.1589		0.5837		0.2847		0.4852		0.254717
-0.5371		0.7439		0.0436		0.2033		0.0238		0.207		0.810127
-0.0583		0.3108		0.1033		0.7219		-0.3354		0.4395		0.765957
0.0734		0.3775		0.09		0.2609		-0.3103		0.7931		0.241379
0.3945		0.5554		0.0207		0.2847		-0.394		0.4975		0.59322
0.018		0.1973		0.0035		0.3328		0.5373		0.6966		0.643836
-0.0154		0.1891		0.005		0.1838		-0.1365		0.926		0.570093
-0.0121		0.2299		0.39		0.5905		-0.35		0.5299		0.602041
0.4542		0.518		-0.4349		0.5356		-0.0352		0.1343		0.94958
0.1566		0.7446		-0.0333		0.4302		-0.2361		0.3379		0.516667
0.2308		0.3149		-0.0673		0.3774		-0.1037		0.7943		0.290909
-0.3311		0.5142		0.2319		0.6081		0.0096		0.3542		0.5
-0.0889		0.1263		0.2078		0.4826		-0.3575		0.7234		0.263158
0.1679		0.455		0.0938		0.6608		-0.233		0.4543		0.602564
0.0256		0.1354		-0.0786		0.9689		-0.0102		0.0994		0.944444
0.0464		0.1306		0.3541		0.5413		-0.1608		0.7093		0.0294118
-0.2386		0.3431		0.1416		0.3848		-0.0566		0.7696		0.934783
-0.049		0.2347		0.0489		0.1776		-0.6414		0.6837		0.391753
0.0183		0.1677		0.2369		0.9301		-0.0688		0.1499		0.194805
0.0786		0.2356		-0.3046		0.8046		0.0763		0.3411		0.316239
0.1363		0.6664		0.1176		0.4282		0.005		0.5116		0.367647
0.2944		0.5161		-0.3759		0.4907		0.2322		0.3966		0.428571
-0.1459		0.4412		-0.0117		0.3738		-0.5137		0.5822		0.871429
0.1288		0.2045		0.1812		0.5508		0.1038		0.7216		0.226415
